Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,275.309998,276.549988,273.089996,274.570007,267.893250,96428000
2019-06-04,277.119995,280.679993,276.619995,280.529999,273.708313,77231900
2019-06-05,282.329987,282.989990,280.320007,282.959991,276.079224,71169700
2019-06-06,283.290009,285.549988,282.570007,284.799988,277.874451,69430400
2019-06-07,285.929993,288.850006,285.739990,287.649994,280.655121,74272200
2019-06-10,289.369995,290.820007,288.869995,288.970001,281.943085,60799100
2019-06-11,290.989990,291.399994,288.179993,288.899994,281.874786,58641300
2019-06-12,288.640015,289.260010,287.820007,288.390015,281.377197,46984700
2019-06-13,289.399994,289.980011,288.619995,289.579987,282.538208,48945200
2019-06-14,289.260010,289.929993,288.410004,289.260010,282.226044,52324700
2019-06-17,289.519989,290.220001,289.179993,289.369995,282.333344,39205700
2019-06-18,291.390015,293.570007,290.989990,292.399994,285.289642,85434800
2019-06-19,292.549988,293.649994,291.470001,293.059998,285.933624,78674400
2019-06-20,296.040009,296.309998,293.130005,295.859985,288.665497,116570000
2019-06-21,294.130005,295.519989,293.760010,294.000000,288.245911,83309500
2019-06-24,294.230011,294.579987,293.470001,293.640015,287.892944,47582700
2019-06-25,293.700012,293.730011,290.640015,290.760010,285.069305,82028700
2019-06-26,291.750000,292.309998,290.350006,290.470001,284.785004,51584900
2019-06-27,291.309998,292.059998,290.890015,291.500000,285.794830,40355200
2019-06-28,292.579987,293.549988,292.010010,293.000000,287.265442,59350900
2019-07-01,296.679993,296.920013,294.329987,295.660004,289.873413,79107500
2019-07-02,295.609985,296.489990,294.679993,296.429993,290.628326,61504500
2019-07-03,297.179993,298.820007,297.019989,298.799988,292.951935,40898900
2019-07-05,297.440002,298.640015,296.010010,298.459991,292.618591,51677300
2019-07-08,297.010010,298.260010,296.220001,296.820007,291.010712,45841800
2019-07-09,295.540009,297.519989,295.480011,297.190002,291.373474,41101300
2019-07-10,298.369995,299.660004,297.779999,298.609985,292.765656,58448500
2019-07-11,299.320007,299.579987,298.200012,299.309998,293.451996,50826100
2019-07-12,299.850006,300.730011,299.510010,300.649994,294.765747,40326000
2019-07-15,301.130005,301.130005,300.190002,300.750000,294.863800,33900000
2019-07-16,300.649994,300.880005,299.440002,299.779999,293.912781,36650100
2019-07-17,299.750000,299.929993,297.739990,297.739990,291.912720,36036300
2019-07-18,297.190002,299.250000,296.700012,298.829987,292.981354,51392600
2019-07-19,300.040009,300.070007,296.980011,297.170013,291.353912,58678600
2019-07-22,297.609985,298.500000,297.040009,297.899994,292.069580,43638100
2019-07-23,299.140015,300.029999,298.220001,300.029999,294.157898,44564500
2019-07-24,299.190002,301.440002,299.089996,301.440002,295.540283,47213200
2019-07-25,300.940002,301.000000,299.109985,300.000000,294.128479,55394100
2019-07-26,300.760010,302.230011,300.619995,302.010010,296.099121,45084100
2019-07-29,301.880005,302.010010,300.850006,301.459991,295.559875,38126500
2019-07-30,299.910004,301.170013,299.489990,300.720001,294.834351,45849000
